case,section,factor,architecture,guidance_mode,include_drag,earth_rotation,thrust_1_mode,crashed,J_prime,insertion_alt_km,insertion_v_ms,insertion_fpa_deg,eccentricity,periapsis_km,apoapsis_km,prop_remaining_kg,dv_ideal,dv_gravity,dv_drag,dv_steering,dv_pressure,dv_losses,dv_gain,dv_achieved,residual,t_meco,t_seco,n_evaluations,wall_clock_s,circularisation_dv,isp_1_mode,kick_profile_mode,obj_J,obj_alt,obj_fpa,obj_transv,obj_vel,orbit_columns_recomputed,period_min,pmp_transversality_nd,pressure_applicable,pseudo_forces_flown,pseudo_forces_requested,pso_gbest_first,pso_gbest_last,pso_generations,pso_tail_improvement_frac,sma_km,target_alt_km
gt_baseline,6.2,baseline,pso_coast,gravity_turn,True,True,pressure,False,0.776761651257929,499.99999999962466,7171.911743944538,7.15592438700599e-11,0.0,499.99999916634334,499.99999916634334,20687.498446755606,9074.509,1805.547,27.065,0.0,65.991,1898.603,311.538,7612.684,-125.241,146.02034199201282,839.9846989355716,250000,10390.5,0.0,pressure,instantaneous,0.7767616440406206,7.506459951400756e-11,7.155924387005991e-10,,6.426650820459784e-09,,94.61347359494837,,True,True,True,76.11995668532902,0.776761651257929,1000,1.968789776755516e-08,6877.9999991663435,500.0
gt_apogee,6.2,architecture,apogee_check,gravity_turn,True,True,pressure,False,,498.86213170946763,7613.31413844622,2.669743051489111e-06,1.06935948836858e-07,498.8620567466533,498.8635275143478,22168.721415826363,8777.915,1211.444,0.0,0.0,67.393,1278.837,311.538,7884.433,-73.817,146.01029334448955,408.95029334425317,,54.7,89.797433097051,pressure,instantaneous,,,,,,,94.59000950793687,,True,True,True,,,,,6876.862792130501,500.0
gt_direct,6.2,architecture,direct,gravity_turn,True,True,pressure,False,41.13152999339198,499.9999999999991,7171.911744405461,13.447465635645615,0.2325718955396271,-1115.3699609414748,2074.3486240150983,19541.036878230974,9240.868,1982.919,23.073,0.0,65.074,2071.066,311.538,7601.291,-119.951,146.02713967067942,421.322112499528,250000,9372.3,0.0,pressure,instantaneous,0.7891330864548282,1.8626451492309569e-13,40.34239690693684,,1.2681342634791792e-13,,94.19057346755666,,True,True,True,43.70576924194103,41.13152999339198,1000,0.0,6857.489331536812,500.0
gt_vacuum,6.2,atmosphere,pso_coast,gravity_turn,False,True,pressure,False,0.7617435045175768,499.99999199561216,7172.14457540589,-2.6283487030448623e-07,6.116886467662152e-05,499.999991994977,500.8414823695002,22380.467905387006,8885.981,1707.864,0.0,0.0,0.0,1707.864,311.538,7612.917,-123.263,146.74183627081632,940.9593145604064,250000,10122.8,0.0,pressure,instantaneous,0.7584928466020605,1.6008775681257246e-06,2.6283487030448623e-06,,0.003246428689245238,,94.62215520891918,,False,True,True,64.16633840017336,0.7617435045175768,1000,1.525511917416906e-05,6878.4207371822395,500.0
gt_norot,6.2,rotation,pso_coast,gravity_turn,True,False,pressure,False,0.8105830407090465,500.0,7612.719899479091,-3.699258423460008e-15,9.434388698120479e-06,500.0000000566747,500.1297807320086,17596.983792605126,9534.249,1829.865,25.856,0.0,65.836,1921.557,0.0,7612.72,-0.028,146.0212691436179,820.196359356346,250000,6010.4,0.0,pressure,instantaneous,0.8101113219746932,0.0,3.699258423460008e-14,,0.00047171873431590516,,94.61481255953882,,True,False,False,49.13823361834403,0.8105830407090465,1000,9.54204167681518e-13,6878.064890394342,500.0
gt_sea_level_engine,6.2,engine_model,pso_coast,gravity_turn,True,True,sea_level,False,0.8109993868502284,500.0,7171.911744405451,3.2923710569837183e-16,0.0,499.9999999999981,499.9999999999981,17514.68682059088,9162.099,1964.231,23.443,0.0,0.0,1987.674,311.538,7612.684,-126.722,144.41359418956267,754.1322134765724,250000,9944.6,0.0,sea_level,instantaneous,0.8109993868502109,0.0,3.2923710569837182e-15,,1.2681342634791791e-14,"2026-09-18: e/periapsis were NaN from the unclamped radicand in get_orbital_elements; recomputed from the archived insertion state with the clamped formula, nothing else changed",94.61347361214993,,False,True,True,34.47037237115403,0.8109993868502284,1000,4.0162719737381255e-13,6877.999999999998,500.0
peg_baseline,6.3,baseline,pso_coast,peg_new,True,True,pressure,False,0.8321729315916786,500.02645869437976,7171.88267210185,-1.7103173528641694e-05,3.3588321347357407e-06,499.9803459241856,500.02655004219247,16096.334406258724,9785.386,2103.186,21.111,433.078,64.557,2621.932,311.538,7612.657,-137.665,146.03103739941355,434.41599975527845,250000,45509.1,0.0,pressure,instantaneous,0.8263047976016104,0.005291738875955344,0.00017103173528641694,,0.00040536337642613153,,94.61354475762268,,True,True,True,2.5474089494878314,0.8321729315916786,1000,0.0004918900412956011,6878.003447983189,500.0
peg_direct,6.3,architecture,direct,peg_new,True,True,pressure,False,0.9510343827585049,500.0231885161856,7171.751314011373,0.03916140012564598,0.0006845738072306833,495.05066940967646,504.4673367415778,16061.976536066177,9791.981,2172.106,19.908,367.387,64.216,2623.617,311.538,7612.525,-132.624,146.03364268360076,434.04499080250247,518,113.9,0.0,pressure,instantaneous,0.8266755526484705,0.004637703237123788,0.11748420037693794,,0.0022369264959743677,,94.60850094064472,,True,True,True,,,,,6877.759003075626,500.0
peg_vacuum,6.3,atmosphere,pso_coast,peg_new,False,True,pressure,False,0.8213749944105735,500.0410781212365,7171.911744405448,3.0656322955121985e-14,6.664001874625056e-06,500.04107808995246,500.1327492581252,17314.521167002746,9617.033,2063.736,0.0,384.184,0.0,2447.921,311.538,7612.687,-132.036,146.74183627081635,431.776221178589,250000,44437.0,0.0,pressure,instantaneous,0.8131593701629146,0.008215624247305094,3.0656322955121983e-13,,5.0725370539167164e-14,,94.61526698898552,,False,True,True,2.1984628681242455,0.8213749944105735,1000,1.7699853576334599e-09,6878.086913674038,500.0
peg_vacuum_norot,6.3,rotation,pso_coast,peg_new,False,False,pressure,False,0.819566170653566,499.9998744891407,7612.684280141422,1.938847952974462e-07,5.674193133312396e-08,499.9998847545292,500.0006652965676,16723.66323891848,9713.465,2039.482,0.0,61.396,0.0,2100.878,0.0,7612.684,-0.097,146.74183627081632,519.3535020788179,250000,31457.1,0.0,pressure,instantaneous,0.8195353055042771,2.510217186063528e-05,1.938847952974462e-06,,3.824129473706904e-06,,94.61347928700955,,False,False,False,7.500080345206496,0.819566170653566,1000,3.4293382384243465e-06,6878.000275025548,500.0
